DBN,name,year,total_enrollment,female_num,male_num,asian_num,black_num,white_num,hispanic_num
02M690,school for the physical city high school,2007,373,187,186,33,132,16,183
25Q029,ps 029 queens                                   ,2012,664,336,328,199,24,102,338
27Q053,m.s. 053 brian piccolo,2014,351,154,197,6,227,4,113
10X360,ps 360,2010,482,238,244,9,79,14,372
13K256,ps 256 benjamin banneker,2008,421,206,215,5,308,7,90
18K566,brooklyn generation school,2010,220,71,149,6,196,0,15
01M839,tompkins square ms extension,2006,221,113,108,34,34,35,112
30Q228,ps 228 ecc,2006,341,165,176,39,13,20,266
84X487,girls preparatory charter school of the bronx,2015,559,559,0,2,183,2,364
84X429,charter high school for law and social justice,2016,128,77,51,1,15,1,74
02M418,millennium high school,2011,637,396,241,180,59,237,158
09X414,jonathan levin high school for media and communi,2008,484,224,260,10,145,4,320
17K189,ps 189 lincoln terrace,2008,1127,540,587,13,857,4,250
31R022,ps 022 graniteville,2009,1244,611,633,138,298,267,526
11X111,ps 111 seton falls,2008,605,313,292,8,401,4,190
21K525,edward r. murrow high school,2014,4021,2346,1675,1077,921,1144,816
05M685,bread & roses integrated arts high school,2009,526,274,252,2,267,2,253
02M300,urban assembly school of design and construction,2009,384,97,287,17,96,19,250
84X389,bronx global learning institute for girls charter,2015,382,382,0,5,102,2,263
09X218,p.s./i.s. 218 rafael hernandez dual language magne,2014,930,490,440,38,67,4,806
10X284,bronx school of law and finance,2011,408,187,221,1,153,15,239
04M037,river east,2011,219,104,115,2,111,3,101
10X037,p.s. x037 - multiple intelligence school,2015,648,301,347,12,147,13,468
26Q172,irwin altman middle school 172,2007,1095,547,548,562,131,239,161
09X022,j.h.s. 022 jordan l. mott,2014,570,282,288,9,159,5,396
15K051,m.s. 51 william alexander,2018,1136,636,499,186,86,579,232
17K161,p.s. 161 the crown,2017,374,166,208,14,304,7,43
16K584,ms 584,2010,269,131,138,0,236,2,28
17K397,p.s. 397 foster-laurie,2017,203,104,99,7,160,20,13
31R056,ps 56 the louis desario school,2010,769,375,394,28,6,664,59
19K108,p.s. 108 sal abbracciamento,2018,959,468,491,59,107,11,755
10X095,ps 095 sheila mencher,2009,1200,540,660,88,270,66,764
04M083,ps 083 luis munoz rivera,2009,436,213,223,33,141,12,236
03M334,the anderson school,2018,537,266,271,145,15,275,49
09X073,p.s. 073 bronx,2015,827,409,418,1,206,11,608
14K586,lyons community school,2011,544,256,288,4,243,6,288
30Q145,is 145 joseph pulitzer,2011,2039,1015,1024,156,48,20,1812
12X251,explorations academy,2007,218,119,99,2,64,2,144
02M419,landmark high school,2014,396,200,196,21,82,9,280
03M860,frederick douglass academy ii secondary school,2006,389,209,180,1,309,3,68
02M281,the river school,2016,152,72,80,46,14,66,24
31R020,p.s. 020 port richmond,2018,464,230,234,2,79,19,353
21K121,ps 121 nelson a rockefeller,2011,273,139,134,44,8,111,110
05M148,eagle academy for young men of harlem,2017,274,0,274,0,194,3,68
01M361,children's workshop school,2009,254,128,126,33,29,89,85
13K307,ps 307 daniel hale williams,2009,258,132,126,2,180,4,71
79X695,passages academy,2015,395,127,268,6,219,29,137
07X551,the urban assembly bronx academy of letters,2015,591,301,290,5,184,13,388
14K120,p.s. 120 carlos tapia,2017,450,231,219,10,90,7,340
17K537,high school for youth and community development,2011,398,152,246,3,344,4,39
15K010,"magnet school of math, science and design technolo",2016,942,480,462,63,79,458,288
31R065,academy of innovative learning,2011,271,134,137,10,86,97,67
02M459,manhattan international high school,2007,341,184,157,94,47,46,153
13K044,p.s. 044 marcus garvey,2018,139,71,68,4,116,5,13
22K193,ps 193 gil hodges                               ,2012,905,444,461,126,491,136,129
31R027,is 027 anning s prall,2009,1007,447,560,97,237,283,384
23K697,teachers preparatory high school                ,2012,566,373,193,4,480,7,74
27Q253,ps 253,2010,552,260,292,9,293,18,225
28Q680,queens gateway to health sciences secondary school,2017,704,386,318,348,221,27,65
15K497,school for international studies,2011,481,228,253,19,192,70,198
19K218,jhs 218 james p sinnott,2006,1133,564,569,87,603,16,410
10X015,p.s. x015 institute for environmental learning,2014,528,269,259,5,67,1,454
05M517,teachers college community school,2017,273,147,126,11,107,43,95
31R030,ps 030 westerleigh,2008,817,370,447,57,38,579,140
03M421,west prep academy,2017,201,99,102,3,116,7,71
05M046,ps 046 arthur tappan,2006,894,422,472,5,544,11,333
27Q207,ps 207 rockwood park,2008,748,380,368,34,28,591,91
21K225,p.s. k225 - the eileen e. zaglin,2014,907,425,482,156,22,377,346
21K095,ps 095 the gravesend,2011,974,472,502,257,90,277,346
24Q585,maspeth high school,2018,1196,608,588,211,16,382,515
15K442,m.s. 442 carroll gardens school for innovation,2017,211,72,139,10,56,48,95
08X036,ps 036 unionport                                ,2012,732,367,365,116,80,20,502
84M483,new york french american charter school,2014,244,125,119,1,159,40,34
22K198,p.s. 198 brooklyn,2017,447,203,244,15,387,7,34
25Q281,eastwest school of international studies,2010,547,253,294,298,98,25,116
22K152,school of science & technology,2011,842,427,415,63,577,40,155
31R036,ps 036 j c drumgoole,2006,976,463,513,31,6,885,48
07X221,south bronx preparatory: a college board school,2009,590,318,272,7,200,4,376
07X547,new explorers high school,2016,426,243,183,3,121,6,296
02M655,life sciences secondary school,2006,699,396,303,33,237,21,392
31R069,ps 069 daniel d tompkins,2011,915,431,484,129,42,559,164
24Q014,ps 014 fairview,2007,1267,587,680,156,82,74,952
06M366,washington heights academy,2009,133,65,68,7,3,22,100
02M077,ps 77 lower lab school,2008,356,188,168,56,15,233,51
30Q235,academy for new americans                       ,2012,152,74,78,54,2,16,80
31R047,csi high school for international studies,2015,520,296,224,59,46,287,104
84K626,achievement first brownsville charter school,2016,828,441,387,0,732,3,89
25Q281,eastwest school of international studies,2008,356,175,181,187,56,16,86
10X209,p.s. 209,2016,271,145,126,3,41,1,226
16K243,ps 243 weeksville                               ,2012,357,196,161,8,279,2,68
02M425,leadership and public service high school,2008,693,347,346,73,196,37,385
07X161,ps 161 ponce de leon,2011,631,287,344,2,177,5,444
16K688,the brooklyn academy of global finance,2010,101,54,47,0,75,2,21
03M163,ps 163 alfred e smith,2008,639,311,328,20,163,147,307
10X003,ps 3 raul julia micro society,2011,415,204,211,8,119,6,281
84M186,harlem hebrew language charter school,2017,321,148,173,3,97,116,94
18K268,p.s. 268 emma lazarus,2014,459,231,228,5,430,7,17
29Q265,excelsior preparatory high school,2017,494,224,270,15,415,11,34
31R038,ps 038 george cromwell,2010,405,206,199,17,15,271,99
06M528,i.s. 528 bea fuller rodgers school,2018,224,128,96,1,3,0,220
11X418,bronx high school for the visual arts,2009,367,156,211,4,142,29,192
12X550,high school of world cultures,2006,373,196,177,10,23,2,335
03M145,"p.s. 145, the bloomingdale school",2015,391,202,189,5,105,19,251
30Q234,p.s. 234,2018,522,248,274,122,34,158,199
24Q199,ps 199 maurice a fitzgerald,2006,983,469,514,292,8,98,579
25Q242,ps 242,2008,373,187,186,246,19,43,64
17K568,brownsville academy high school,2010,221,125,96,0,189,3,22
07X473,mott haven village preparatory high school,2010,344,168,176,5,90,0,247
06M346,community health academy of the heights,2018,703,345,358,6,46,11,638
27Q282,knowledge and power preparatory academy vi,2016,260,139,121,14,147,7,92
21K097,ps 097 the highlawn,2010,796,414,382,439,9,203,134
03M333,ps 333 manhattan school for children,2006,591,306,285,49,136,266,130
28Q196,ps 196 grand central pkwy,2010,645,314,331,278,17,274,75
21K525,edward r. murrow high school,2016,3885,2282,1603,1001,880,1084,815
25Q237,i.s. 237,2015,1184,550,634,858,89,22,208
13K056,p.s. 056 lewis h. latimer,2017,201,95,106,7,150,16,24
12X341,accion academy,2017,131,67,64,2,33,1,95
14K017,p.s. 017 henry d. woodworth,2017,295,153,142,4,12,32,243
27Q100,ps 100 glen morris                              ,2012,989,427,562,619,101,40,220
31R072,is 072 rocco laurie,2011,1619,766,853,288,298,619,407
02M575,manhattan comprehensive night and day high school,2017,764,331,433,187,229,42,297
31R029,ps 029 bardwell,2007,535,256,279,86,64,312,71
19K502,fdny - captain vernon a. richard high school for f,2018,333,81,252,2,239,3,79
24Q153,ps 153 maspeth elem,2010,1413,707,706,101,16,589,680
04M964,central park east ii,2011,227,115,112,5,99,40,59
02M560,high school m560  city as school,2010,728,380,348,40,269,126,288
11X289,the young scholars academy of the bronx         ,2012,352,155,197,9,235,2,100
32K545,ebc high school for public service_x0016_bushwick,2010,710,353,357,9,78,6,612
84X497,storefront academy charter school,2016,99,41,58,1,38,1,58
04M409,coalition school for social change,2007,425,236,189,3,123,9,276
19K615,transit tech career and technical education high,2008,1664,335,1329,77,1124,18,407
28Q440,forest hills high school,2014,3800,1988,1812,970,348,1197,1220
27Q066,ps 066 jacqueline kennedy onassis,2010,468,239,229,66,45,35,312
08X146,ps 146 edward collins,2011,457,238,219,1,192,2,253
31R042,ps 042 eltingville                              ,2012,988,497,491,41,7,816,113
84K742,explore empower charter school,2017,515,237,278,3,458,4,45
23K156,p.s. 156 waverly,2015,810,378,432,2,648,6,147
15K698,south brooklyn community high school,2014,163,71,92,4,56,9,94
02M565,urban academy laboratory high school,2008,138,77,61,4,53,35,40
31R055,ps 055 henry m boehm,2007,664,327,337,31,7,584,42
21K226,ps 226 alfred de b.mason,2007,748,346,402,199,18,341,184
18K673,east brooklyn community high school,2016,181,87,94,1,146,4,28
12X691,bronx little school,2006,122,63,59,8,33,1,77
21K177,ps 177 the marlboro,2011,903,445,458,294,10,339,257
10X399,ms 399,2008,746,310,436,7,161,2,569
01M650,cascades high school,2016,233,136,97,9,78,15,129
18K219,p.s. 219 kennedy-king,2014,561,280,281,3,501,5,48
84K757,unity prep charter school,2016,316,145,171,5,246,4,54
10X243,west bronx academy for the future               ,2012,636,268,368,22,157,8,442
30Q149,ps 149 christa mcauliffe                        ,2012,1208,586,622,108,15,58,1021
07X224,p.s./i.s. 224,2018,358,156,202,1,94,5,257
17K489,w.e.b. dubois academic high school,2014,131,73,58,3,110,3,13
08X100,p.s. 100 isaac clason,2014,596,292,304,4,216,7,361
84K680,achievement first aspire charter school,2015,241,136,105,1,178,0,56
17K751,academy for health careers,2016,362,253,109,10,300,5,35
10X023,p.s. 023 the new children's school,2016,548,270,278,2,203,3,339
25Q120,ps 120 queens,2008,788,393,395,589,6,33,157
31R022,p.s. 022 graniteville,2017,1018,523,495,76,256,103,555
12X216,bus. schl. entrepren. studies,2009,232,107,125,4,54,0,171
25Q792,north queens community high school,2018,207,94,113,18,87,20,78
02M397,spruce street school,2015,430,204,226,61,11,248,53
09X063,p.s. 063 author's academy,2016,650,343,307,2,234,18,394
04M072,the lexington academy,2017,687,326,361,16,91,18,559
08X301,m.s. 301 paul l. dunbar,2017,237,112,125,0,94,7,136
09X132,p.s. 132 garret a. morgan,2014,492,239,253,1,215,4,270
06M153,p.s. 153 adam clayton powell,2017,676,355,321,16,137,21,495
30Q151,p.s. 151 mary d. carter,2018,381,200,181,62,91,25,197
05M304,mott hall high school,2008,414,201,213,4,139,13,235
28Q338,queens satellite high school for opportunity,2015,226,113,113,12,106,27,67
84M357,success academy charter school - harlem 6,2018,149,76,73,0,91,2,54
32K274,ps 274 kosciusko,2010,736,346,390,24,120,10,574
19K306,p.s. 306 ethan allen,2015,625,303,322,4,469,2,143
29Q195,ps 195 william haberle,2011,696,342,354,15,629,14,37
29Q138,ps 138 sunrise,2006,892,448,444,14,791,14,71
24Q016,p.s. q016 the nancy debenedittis school,2014,1737,828,909,187,11,12,1503
22K206,ps 206 joseph f lamb,2008,1255,619,636,593,75,478,109
31R034,i s 034 tottenville,2011,1140,558,582,34,5,1007,88
09X219,i.s. 219 new venture school,2015,326,148,178,2,114,2,207
02M418,millennium high school,2009,573,358,215,157,75,194,137
31R028,the eagle academy for young men of staten island,2017,192,0,192,15,98,15,60
10X353,world view high school,2017,449,242,207,4,108,6,321
19K507,performing arts and technology high school,2014,428,227,201,1,342,1,82
11X189,cornerstone academy for social action,2010,430,190,240,16,208,10,175
27Q183,p.s. 183 dr. richard r. green,2014,532,268,264,22,282,29,180
25Q025,i s 025 adrien block,2009,889,429,460,417,14,265,189
18K233,ps 233 langston hughes,2009,722,355,367,1,678,5,34
10X086,ps 086 kingsbridge heights,2011,1752,876,876,70,236,29,1416
09X004,p.s./m.s. 004 crotona park west,2017,574,268,306,4,314,5,243
11X016,ps 016 wakefield,2010,633,288,345,56,348,15,181
16K309,ps 309 george e wibecan,2006,475,221,254,20,372,3,75
29Q181,ps 181 brookfield,2009,416,184,232,2,380,11,20
20K768,district 20 pre-k center,2017,1158,569,589,570,12,261,309
09X022,j.h.s. 022 jordan l. mott,2017,419,186,233,2,86,3,325
29Q052,ps 052 queens,2009,598,294,304,14,529,14,35
24Q119,is 119 the glendale,2011,981,445,536,131,18,423,402
09X063,ps 063 author's academy,2009,512,265,247,3,206,2,298
02M312,nyc lab ms for coll. studies,2011,562,284,278,234,25,194,62
84K876,achievement first voyager charter school,2017,66,36,30,2,57,1,2
84M174,success academy union square (manhattan 1),2017,452,224,228,90,105,129,104
02M565,urban academy laboratory high school,2010,145,84,61,4,49,42,42
18K115,p.s. 115 daniel mucatel school,2015,1160,600,560,36,986,33,94
06M052,j.h.s. 052 inwood,2016,411,186,225,2,18,7,381
01M184,ps 184m shuang wen,2008,573,269,304,475,32,41,22
08X301,ms 301 paul l. dunbar ms,2010,326,148,178,1,125,0,199
